firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,0,1999,,1,17.787413,19.123178,3.8029034,7.2997975,0,Business Support Services,1,1,156
1,0,1999,,1,17.547695,21.399136,47.060738,6.8351846,1,Retailers,1,1,157
0,0,2014,,3,17.738396,20.885624,23.271513,8.1906319,0,Consumer Information Services,1,0,158
1,0,2011,,1,18.812111,20.595499,5.9499807,8.3226376,0,Business Support Services,1,0,159
1,0,1995,,3,16.495779,18.913717,11.222692,6.9450512,1,Consumer Information Services,0,0,160
1,0,1997,,3,17.343073,19.352518,7.4591823,7.0405364,1,Business Support Services,1,0,161
1,0,1999,,2,17.527946,19.864466,10.34516,7.5240216,1,Software,0,1,162
0,1,1998,10,20,17.181274,20.419634,25.491865,6.9716687,1,Communications and Networking,1,1,163
0,1,1998,10,20,16.215181,19.059797,17.194954,7.0859013,0,Communications and Networking,0,1,164
0,0,2011,,7,22.662842,24.876812,9.1519814,8.0153275,1,Consumer Information Services,1,0,165
1,0,2004,,0,17.835564,19.049891,3.3680234,7.5109777,1,Business Support Services,0,0,166
1,0,1998,,2,16.649803,18.436228,5.9680772,7.3004727,1,Retailers,1,0,167
1,0,2009,,8,18.567972,19.793732,3.4067547,8.5307016,1,Financial Institutions and Services,0,0,168
0,0,2012,,5,17.941811,21.262981,27.692766,8.1662159,1,Communications and Networking,0,0,169
0,0,2014,,3,17.828993,19.238548,4.0941386,8.4850836,1,Business Support Services,0,0,170
1,0,1996,,2,16.608326,19.064714,11.662613,7.8628821,0,Software,0,0,171
0,0,2009,,8,18.588682,19.023537,1.544739,8.3631096,1,Materials and Chemicals,1,0,172
1,0,1998,,0,16.947405,19.841972,18.07571,7.0175061,1,Business Support Services,0,1,173
0,0,2013,,4,17.334164,20.287487,19.169582,7.101676,0,Communications and Networking,1,1,174
1,0,1998,,1,17.369202,19.838102,11.809472,7.5469742,1,Retailers,0,1,175
1,0,1994,,4,15.424949,19.028589,36.731712,7.3225102,0,Communications and Networking,0,0,176
0,1,2002,6,15,17.835806,19.85111,7.5030203,8.2190571,1,Semiconductors,1,0,177
0,0,2009,,8,18.067163,20.432745,10.650243,8.1031914,1,Semiconductors,1,0,178
1,0,1998,,9,17.073214,20.981155,49.796341,7.1098795,1,Communications and Networking,1,1,179
1,0,1998,,5,17.20347,21.329401,61.925365,7.46451,0,Business Support Services,1,1,180
1,0,1999,,2,17.505953,20.116043,13.600286,7.8879595,1,Communications and Networking,0,1,181
1,0,1996,,3,15.67843,19.578154,49.388798,7.4030609,1,Semiconductors,0,0,182
